iteration,train_error,test_error
170,2.189644746444265e-14,7.133003558656981e-08
171,3.283144169399267e-14,2.3698880892730755e-07
172,2.310346229920327e-13,3.8320918154255424e-07
173,2.430636096041605e-13,2.5013263585016433e-07
174,1.357230376263646e-12,6.13793870639423e-07
175,5.407402260335093e-13,5.346527055980488e-07
176,1.5139819909901209e-12,1.497797876190532e-06
177,6.450989393277234e-12,2.9024350396866795e-06
178,2.0608267883859277e-10,1.388970322005889e-05
179,3.934081282833471e-10,3.7217616888710835e-05
180,1.0177687667645153e-09,2.3226809601055722e-05
181,9.294003579241039e-10,1.652512570444742e-05
182,4.047677199525701e-09,0.00014946857184031613
183,1.210845596233412e-07,8.388016704975599e-05
184,1.2587588878254507e-06,0.0019474234417284607
185,5.354936746130079e-05,0.006947979990392923
186,0.00019505736910787163,0.011166192588454579
187,0.000139670984640361,0.014224496367038228
188,0.00023349826959361052,0.005435570967296371
189,2.8695791423274388e-05,0.0017998864021756163
190,4.416540535743252e-06,0.0016583176360290962
191,1.4616664784661282e-06,0.0004436233586638991
192,6.634656777393388e-07,0.000754519566649833
193,2.031072675423573e-07,0.0002712156226916704
194,3.530653362240899e-08,8.535279561874632e-05
195,3.6357651062024486e-09,4.1044516862257294e-05
196,3.033891796677679e-09,1.3525413500971695e-05
197,6.452160641553551e-10,2.1973482498083284e-05
198,1.0825187524154955e-10,4.0792334837078666e-06
199,1.0928853969808388e-11,4.435807025885196e-06
